log	num_snps	h2_observed	h2_observed_se	h2_liability	h2_liability_se	mean_chisq	intercept	intercept_se	ratio	rg	rg_se	rg_z	rg_p	gencov_intercept	gencov_intercept_se	trait_a	trait_b	condition	fdr_bh
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr16.log	1136511	0.3848	0.1748			1.1825	0.9246	0.0388	0.0933	-0.1848	0.0668	-2.7649	0.0057			ADV_AMD	POAG	noMHC_minus_chr16	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr17.log	1141198	0.3829	0.1746			1.1813	0.9251	0.0393	0.0787	-0.1822	0.0671	-2.716	0.0066			ADV_AMD	POAG	noMHC_minus_chr17	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr18.log	1137576	0.3868	0.1751			1.1848	0.9261	0.0389	0.0859	-0.1726	0.0637	-2.7097	0.0067			ADV_AMD	POAG	noMHC_minus_chr18	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr19.log	1150669	0.404	0.1722			1.1771	0.9078	0.0371	0.0903	-0.1764	0.061	-2.8947	0.0038			ADV_AMD	POAG	noMHC_minus_chr19	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr2.log	1073776	0.4091	0.1875			1.1914	0.92	0.0408	0.0869	-0.1749	0.0664	-2.6343	0.0084			ADV_AMD	POAG	noMHC_minus_chr2	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr20.log	1141972	0.3854	0.1744			1.1836	0.9258	0.0393	0.0997	-0.1712	0.0629	-2.721	0.0065			ADV_AMD	POAG	noMHC_minus_chr20	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr21.log	1155707	0.3834	0.1724			1.1829	0.9266	0.0377	0.091	-0.1799	0.0663	-2.7115	0.0067			ADV_AMD	POAG	noMHC_minus_chr21	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr22.log	1155450	0.3811	0.1737			1.1797	0.9249	0.038	0.0952	-0.1779	0.0673	-2.6419	0.0082			ADV_AMD	POAG	noMHC_minus_chr22	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr3.log	1090378	0.3948	0.185			1.1852	0.9247	0.0411	0.0795	-0.2004	0.0751	-2.6672	0.0076			ADV_AMD	POAG	noMHC_minus_chr3	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr4.log	1098888	0.3961	0.1826			1.1884	0.9248	0.0399	0.0791	-0.182	0.067	-2.7168	0.0066			ADV_AMD	POAG	noMHC_minus_chr4	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr5.log	1096696	0.3982	0.1833			1.1896	0.9254	0.0401	0.0895	-0.175	0.0657	-2.6651	0.0077			ADV_AMD	POAG	noMHC_minus_chr5	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr6.log	1100956	0.4003	0.1825			1.1914	0.9246	0.04	0.0713	-0.1795	0.0654	-2.7454	0.006			ADV_AMD	POAG	noMHC_minus_chr6	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr7.log	1107058	0.3913	0.1492			1.1864	0.9262	0.0342	0.0933	-0.1668	0.0487	-3.426	0.0006			ADV_AMD	POAG	noMHC_minus_chr7	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr8.log	1107921	0.4001	0.1379			1.1908	0.9255	0.031	0.0812	-0.1728	0.0462	-3.743	0.0002			ADV_AMD	POAG	noMHC_minus_chr8	
results/phase1/logs/rg.ADV_AMD__POAG.noMHC_minus_chr9.log	1117787	0.3846	0.1777			1.1816	0.9248	0.0392	0.0973	-0.1751	0.0654	-2.6771	0.0074			ADV_AMD	POAG	noMHC_minus_chr9	
results/phase1/logs/rg.ADV_AMD__POAG_IOP.full.log	1172447	0.3843	0.1747			1.1825	0.9254	0.0391	0.1167	-0.1102	0.0395	-2.7906	0.0053			ADV_AMD	POAG_IOP	full	
results/phase1/logs/rg.ADV_AMD__POAG_IOP.noMHC.log	1172447	0.3843	0.1747			1.1825	0.9254	0.0391	0.1167	-0.1102	0.0395	-2.7906	0.0053			ADV_AMD	POAG_IOP	noMHC	0.0106
results/phase1/logs/rg.ADV_AMD__POAG_nonIOP.full.log	1172447	0.3843	0.1747			1.1825	0.9254	0.0391	0.1771	-0.1751	0.0714	-2.452	0.0142			ADV_AMD	POAG_nonIOP	full	
results/phase1/logs/rg.ADV_AMD__POAG_nonIOP.noMHC.log	1172447	0.3843	0.1747			1.1825	0.9254	0.0391	0.1771	-0.1751	0.0714	-2.452	0.0142			ADV_AMD	POAG_nonIOP	noMHC	0.01775
results/phase1/logs/rg.EARLY_AMD__POAG.full.log	1169096	0.0397	0.017			1.0681	0.9864	0.0139	0.0976	-0.2694	0.105	-2.5663	0.0103			EARLY_AMD	POAG	full	
results/phase1/logs/rg.EARLY_AMD__POAG.noMHC.log	1169096	0.0397	0.017			1.0681	0.9864	0.0139	0.0976	-0.2694	0.105	-2.5663	0.0103			EARLY_AMD	POAG	noMHC	0.014714286
results/phase1/logs/rg.EARLY_AMD__POAG_IOP.full.log	1169096	0.0403	0.0172			1.0687	0.9857	0.014	0.1091	-0.1532	0.0687	-2.2298	0.0258			EARLY_AMD	POAG_IOP	full	
results/phase1/logs/rg.EARLY_AMD__POAG_IOP.noMHC.log	1169096	0.0403	0.0172			1.0687	0.9857	0.014	0.1091	-0.1532	0.0687	-2.2298	0.0258			EARLY_AMD	POAG_IOP	noMHC	0.0258
results/phase1/logs/rg.EARLY_AMD__POAG_nonIOP.full.log	1169096	0.0403	0.0172			1.0687	0.9857	0.014	0.1841	-0.2686	0.1157	-2.3217	0.0202			EARLY_AMD	POAG_nonIOP	full	
results/phase1/logs/rg.EARLY_AMD__POAG_nonIOP.noMHC.log	1169096	0.0403	0.0172			1.0687	0.9857	0.014	0.1841	-0.2686	0.1157	-2.3217	0.0202			EARLY_AMD	POAG_nonIOP	noMHC	0.022444444
results/phase1/logs/rg.POAG__POAG_IOP.full.log	1182853	0.0647	0.0055			1.2976	1.0284	0.0113	0.0956	0.6418	0.04	16.0627	4.6557e-58			POAG	POAG_IOP	full	
results/phase1/logs/rg.POAG__POAG_IOP.noMHC.log	1182853	0.0647	0.0055			1.2976	1.0284	0.0113	0.0956	0.6418	0.04	16.0627	4.6557e-58			POAG	POAG_IOP	noMHC	2.32785e-57
results/phase1/logs/rg.POAG__POAG_nonIOP.full.log	1182853	0.0647	0.0055			1.2976	1.0284	0.0113	0.0956	0.883	0.0129	68.2219	0.			POAG	POAG_nonIOP	full	
results/phase1/logs/rg.POAG__POAG_nonIOP.noMHC.log	1182853	0.0647	0.0055			1.2976	1.0284	0.0113	0.0956	0.883	0.0129	68.2219	0.			POAG	POAG_nonIOP	noMHC	0
results/phase1/logs/rg.POAG_nonIOP__POAG_IOP.full.log	1146425	0.0578	0.0064			1.1663	1.03	0.0071	0.1807	0.1732	0.0587	2.9496	0.0032			POAG_nonIOP	POAG_IOP	full	
results/phase1/logs/rg.POAG_nonIOP__POAG_IOP.noMHC.log	1146425	0.0578	0.0064			1.1663	1.03	0.0071	0.1807	0.1732	0.0587	2.9496	0.0032			POAG_nonIOP	POAG_IOP	noMHC	0.008
